id,text
focus_end,"انتهى وقت التركيز. أحسنت، انتقل للخطوة التالية بهدوء."
world_enter,"مبروك! وصلت إلى عالم جديد."
proud,"أحسنت يا بطل! جزّور فخور بك."
task_next,"مهمتك التالية:"
reward_line,"تكسب نقاط خبرة وجزرات."
w_0,"وادي الجزر"
w_1,"الغابة المسحورة"
w_2,"الصحراء الذهبية"
w_3,"أعماق البحر"
w_4,"القمم الثلجية"
w_5,"مدينة البراكين"
w_6,"الفضاء"
w_7,"مملكة التنانين"
sura_1,"سورة الفاتحة"
sura_114,"سورة الناس"
sura_113,"سورة الفلق"
sura_112,"سورة الإخلاص"
sura_111,"سورة المسد"
sura_110,"سورة النصر"
sura_109,"سورة الكافرون"
sura_108,"سورة الكوثر"
sura_107,"سورة الماعون"
sura_106,"سورة قريش"
sura_105,"سورة الفيل"
sura_104,"سورة الهمزة"
sura_103,"سورة العصر"
sura_102,"سورة التكاثر"
sura_101,"سورة القارعة"
sura_100,"سورة العاديات"
sura_99,"سورة الزلزلة"
sura_98,"سورة البينة"
sura_97,"سورة القدر"
sura_96,"سورة العلق"
sura_95,"سورة التين"
sura_94,"سورة الشرح"
sura_93,"سورة الضحى"
sura_92,"سورة الليل"
sura_91,"سورة الشمس"
sura_90,"سورة البلد"
sura_89,"سورة الفجر"
sura_88,"سورة الغاشية"
sura_87,"سورة الأعلى"
sura_86,"سورة الطارق"
sura_85,"سورة البروج"
sura_84,"سورة الإنشقاق"
sura_83,"سورة المطففين"
sura_82,"سورة الإنفطار"
sura_81,"سورة التكوير"
sura_80,"سورة عبس"
sura_79,"سورة النازعات"
sura_78,"سورة النبإ"
